Date,US Field Production of Crude Oil (Thousand Barrels),US Crude Oil First Purchase Price (Dollars per Barrel)
Jul-2015,292862,47.7
Aug-2015,291887,39.98
Sep-2015,284723,41.6
Oct-2015,291593,42.34
Nov-2015,280110,38.19
Dec-2015,287722,32.26
Jan-2016,285279,27.02
Feb-2016,262892,25.52
Mar-2016,281744,31.87
Apr-2016,266126,35.59
May-2016,273848,41.02
Jun-2016,260129,43.96
Jul-2016,268586,40.71
Aug-2016,269252,40.46
Sep-2016,256326,40.55
Oct-2016,274071,45
Nov-2016,267181,41.65
Dec-2016,274222,47.12
Jan-2017,275081,48.19
Feb-2017,255027,49.41
Mar-2017,284965,46.39
Apr-2017,273444,47.23
May-2017,285439,45.19
Jun-2017,274035,42.17
Jul-2017,287239,43.42
Aug-2017,287182,44.96
Sep-2017,286008,47.17
Oct-2017,299709,49.12
Nov-2017,302637,55.19
Dec-2017,309779,56.98
Jan-2018,309948,62.25
Feb-2018,287302,61.18
Mar-2018,325146,60.68
Apr-2018,314891,63.5
May-2018,324159,66.16
Jun-2018,318147,62.8
Jul-2018,338007,67
Aug-2018,352889,62.64
Sep-2018,343901,63.54
Oct-2018,358173,65.18
Nov-2018,357213,55.65
Dec-2018,372116,47.63
Jan-2019,367815,48
Feb-2019,327007,52.6
Mar-2019,370056,57.46
Apr-2019,364041,63
May-2019,377059,59.73
Jun-2019,362626,54.34
Jul-2019,366392,56.47
Aug-2019,385168,53.63
Sep-2019,374856,55.14
Oct-2019,392849,53.14
Nov-2019,385793,54.96
Dec-2019,396865,58.41
Jan-2020,395399,56.86
Feb-2020,369622,50.03
Mar-2020,394849,31.8
Apr-2020,360299,15.99
May-2020,310582,18.09
Jun-2020,313264,33.53
Jul-2020,340375,37.55
Aug-2020,327957,39.41
,,
